file,originality
suspicious-document00001.txt.preprocessed.png,plagiarism
suspicious-document00002.txt.preprocessed.png,plagiarism
suspicious-document00003.txt.preprocessed.png,no_plagiarism
suspicious-document00004.txt.preprocessed.png,no_plagiarism
suspicious-document00005.txt.preprocessed.png,plagiarism
suspicious-document00006.txt.preprocessed.png,plagiarism
suspicious-document00007.txt.preprocessed.png,plagiarism
suspicious-document00008.txt.preprocessed.png,no_plagiarism
suspicious-document00009.txt.preprocessed.png,plagiarism
suspicious-document00010.txt.preprocessed.png,no_plagiarism
suspicious-document00011.txt.preprocessed.png,no_plagiarism
suspicious-document00012.txt.preprocessed.png,no_plagiarism
suspicious-document00013.txt.preprocessed.png,no_plagiarism
suspicious-document00014.txt.preprocessed.png,plagiarism
suspicious-document00015.txt.preprocessed.png,plagiarism
suspicious-document00016.txt.preprocessed.png,no_plagiarism
suspicious-document00017.txt.preprocessed.png,no_plagiarism
suspicious-document00018.txt.preprocessed.png,no_plagiarism
suspicious-document00019.txt.preprocessed.png,plagiarism
suspicious-document00020.txt.preprocessed.png,no_plagiarism
suspicious-document00021.txt.preprocessed.png,plagiarism
suspicious-document00022.txt.preprocessed.png,no_plagiarism
suspicious-document00023.txt.preprocessed.png,no_plagiarism
suspicious-document00024.txt.preprocessed.png,plagiarism
suspicious-document00025.txt.preprocessed.png,no_plagiarism
suspicious-document00026.txt.preprocessed.png,plagiarism
suspicious-document00027.txt.preprocessed.png,no_plagiarism
suspicious-document00028.txt.preprocessed.png,no_plagiarism
suspicious-document00029.txt.preprocessed.png,no_plagiarism
suspicious-document00030.txt.preprocessed.png,no_plagiarism
suspicious-document00031.txt.preprocessed.png,no_plagiarism
suspicious-document00032.txt.preprocessed.png,plagiarism
suspicious-document00033.txt.preprocessed.png,plagiarism
suspicious-document00034.txt.preprocessed.png,no_plagiarism
suspicious-document00035.txt.preprocessed.png,no_plagiarism
suspicious-document00036.txt.preprocessed.png,no_plagiarism
suspicious-document00037.txt.preprocessed.png,no_plagiarism
suspicious-document00038.txt.preprocessed.png,plagiarism
suspicious-document00039.txt.preprocessed.png,plagiarism
suspicious-document00040.txt.preprocessed.png,plagiarism
suspicious-document00041.txt.preprocessed.png,no_plagiarism
suspicious-document00042.txt.preprocessed.png,no_plagiarism
suspicious-document00043.txt.preprocessed.png,plagiarism
suspicious-document00044.txt.preprocessed.png,plagiarism
suspicious-document00045.txt.preprocessed.png,no_plagiarism
suspicious-document00046.txt.preprocessed.png,no_plagiarism
suspicious-document00047.txt.preprocessed.png,plagiarism
suspicious-document00048.txt.preprocessed.png,plagiarism
suspicious-document00049.txt.preprocessed.png,no_plagiarism
suspicious-document00050.txt.preprocessed.png,no_plagiarism
suspicious-document00051.txt.preprocessed.png,no_plagiarism
suspicious-document00052.txt.preprocessed.png,plagiarism
suspicious-document00053.txt.preprocessed.png,plagiarism
suspicious-document00054.txt.preprocessed.png,no_plagiarism
suspicious-document00055.txt.preprocessed.png,plagiarism
suspicious-document00056.txt.preprocessed.png,plagiarism
suspicious-document00057.txt.preprocessed.png,no_plagiarism
suspicious-document00058.txt.preprocessed.png,no_plagiarism
suspicious-document00059.txt.preprocessed.png,plagiarism
suspicious-document00060.txt.preprocessed.png,no_plagiarism
suspicious-document00061.txt.preprocessed.png,plagiarism
suspicious-document00062.txt.preprocessed.png,no_plagiarism
suspicious-document00063.txt.preprocessed.png,plagiarism
suspicious-document00064.txt.preprocessed.png,plagiarism
suspicious-document00065.txt.preprocessed.png,no_plagiarism
suspicious-document00066.txt.preprocessed.png,no_plagiarism
suspicious-document00067.txt.preprocessed.png,no_plagiarism
suspicious-document00068.txt.preprocessed.png,no_plagiarism
suspicious-document00069.txt.preprocessed.png,plagiarism
suspicious-document00070.txt.preprocessed.png,plagiarism
suspicious-document00071.txt.preprocessed.png,no_plagiarism
suspicious-document00072.txt.preprocessed.png,no_plagiarism
suspicious-document00073.txt.preprocessed.png,plagiarism
suspicious-document00074.txt.preprocessed.png,plagiarism
suspicious-document00075.txt.preprocessed.png,no_plagiarism
suspicious-document00076.txt.preprocessed.png,no_plagiarism
suspicious-document00077.txt.preprocessed.png,no_plagiarism
suspicious-document00078.txt.preprocessed.png,plagiarism
suspicious-document00079.txt.preprocessed.png,no_plagiarism
suspicious-document00080.txt.preprocessed.png,plagiarism
suspicious-document00081.txt.preprocessed.png,plagiarism
suspicious-document00082.txt.preprocessed.png,no_plagiarism
suspicious-document00083.txt.preprocessed.png,no_plagiarism
suspicious-document00084.txt.preprocessed.png,no_plagiarism
suspicious-document00085.txt.preprocessed.png,no_plagiarism
suspicious-document00086.txt.preprocessed.png,no_plagiarism
suspicious-document00087.txt.preprocessed.png,plagiarism
suspicious-document00088.txt.preprocessed.png,no_plagiarism
suspicious-document00089.txt.preprocessed.png,no_plagiarism
suspicious-document00090.txt.preprocessed.png,no_plagiarism
suspicious-document00091.txt.preprocessed.png,no_plagiarism
suspicious-document00092.txt.preprocessed.png,no_plagiarism
suspicious-document00093.txt.preprocessed.png,plagiarism
suspicious-document00094.txt.preprocessed.png,plagiarism
suspicious-document00095.txt.preprocessed.png,no_plagiarism
suspicious-document00096.txt.preprocessed.png,no_plagiarism
suspicious-document00097.txt.preprocessed.png,plagiarism
suspicious-document00098.txt.preprocessed.png,no_plagiarism
suspicious-document00099.txt.preprocessed.png,no_plagiarism
suspicious-document00100.txt.preprocessed.png,plagiarism
suspicious-document00101.txt.preprocessed.png,plagiarism
suspicious-document00102.txt.preprocessed.png,no_plagiarism
suspicious-document00103.txt.preprocessed.png,plagiarism
suspicious-document00104.txt.preprocessed.png,no_plagiarism
suspicious-document00105.txt.preprocessed.png,no_plagiarism
suspicious-document00106.txt.preprocessed.png,no_plagiarism
suspicious-document00107.txt.preprocessed.png,plagiarism
suspicious-document00108.txt.preprocessed.png,no_plagiarism
suspicious-document00109.txt.preprocessed.png,no_plagiarism
suspicious-document00110.txt.preprocessed.png,no_plagiarism
suspicious-document00111.txt.preprocessed.png,plagiarism
suspicious-document00112.txt.preprocessed.png,no_plagiarism
suspicious-document00113.txt.preprocessed.png,no_plagiarism
suspicious-document00114.txt.preprocessed.png,plagiarism
suspicious-document00115.txt.preprocessed.png,plagiarism
suspicious-document00116.txt.preprocessed.png,plagiarism
suspicious-document00117.txt.preprocessed.png,plagiarism
suspicious-document00118.txt.preprocessed.png,no_plagiarism
suspicious-document00119.txt.preprocessed.png,no_plagiarism
suspicious-document00120.txt.preprocessed.png,no_plagiarism
suspicious-document00121.txt.preprocessed.png,plagiarism
suspicious-document00122.txt.preprocessed.png,plagiarism
suspicious-document00123.txt.preprocessed.png,no_plagiarism
suspicious-document00124.txt.preprocessed.png,no_plagiarism
suspicious-document00125.txt.preprocessed.png,no_plagiarism
suspicious-document00126.txt.preprocessed.png,no_plagiarism
suspicious-document00127.txt.preprocessed.png,no_plagiarism
suspicious-document00128.txt.preprocessed.png,no_plagiarism
suspicious-document00129.txt.preprocessed.png,no_plagiarism
suspicious-document00130.txt.preprocessed.png,no_plagiarism
suspicious-document00131.txt.preprocessed.png,no_plagiarism
suspicious-document00132.txt.preprocessed.png,plagiarism
suspicious-document00133.txt.preprocessed.png,no_plagiarism
suspicious-document00134.txt.preprocessed.png,no_plagiarism
suspicious-document00135.txt.preprocessed.png,no_plagiarism
